LCA Material ID,LCA Material Name,Stage,Oekobaudat Link,LCA massValue,Oekobaudat massValue,massValue Difference,massValue Difference Percentage,LCA GWP,Oekobaudat GWP,GWP Difference,GWP Difference Percentage,LCA ODP,Oekobaudat ODP,ODP Difference,ODP Difference Percentage,LCA POCP,Oekobaudat POCP,POCP Difference,POCP Difference Percentage,LCA AP,Oekobaudat AP,AP Difference,AP Difference Percentage,LCA EP,Oekobaudat EP,EP Difference,EP Difference Percentage,LCA ADPE,Oekobaudat ADPE,ADPE Difference,ADPE Difference Percentage,LCA ADPF,Oekobaudat ADPF,ADPF Difference,ADPF Difference Percentage,LCA PERT,Oekobaudat PERT,PERT Difference,PERT Difference Percentage,LCA PENRT,Oekobaudat PENRT,PENRT Difference,PENRT Difference Percentage,LCA RSF,Oekobaudat RSF,RSF Difference,RSF Difference Percentage,LCA NRSF,Oekobaudat NRSF,NRSF Difference,NRSF Difference Percentage
0973f221-2284-4892-ae3d-1b8c2986b6dd,"Afretningslag , cementbaseret",A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0973f221-2284-4892-ae3d-1b8c2986b6dd,1.0,2400.0,2399.0,239900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
0973f221-2284-4892-ae3d-1b8c2986b6dd,"Afretningslag , cementbaseret",C4,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=0973f221-2284-4892-ae3d-1b8c2986b6dd,1.0,2400.0,2399.0,239900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
e98995e0-f945-4fea-849f-cec0aff6cb0c,"Afretningslag , hårdeplast",A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e98995e0-f945-4fea-849f-cec0aff6cb0c,1.0,1800.0,1799.0,179900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
e98995e0-f945-4fea-849f-cec0aff6cb0c,"Afretningslag , hårdeplast",C4,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e98995e0-f945-4fea-849f-cec0aff6cb0c,1.0,1800.0,1799.0,179900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
93eb05bd-e607-46de-8d7b-e0727f8d2400,"Aluminium , plade og profil , Genanvendelse",C4,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=93eb05bd-e607-46de-8d7b-e0727f8d2400,1.0,2700.0,2699.0,269900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
93eb05bd-e607-46de-8d7b-e0727f8d2400,"Aluminium , plade og profil , Genanvendelse",D,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=93eb05bd-e607-46de-8d7b-e0727f8d2400,1.0,2700.0,2699.0,269900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
e9ae96ee-ba8d-420d-9725-7c8abd06e082,Armeringsnet,A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=e9ae96ee-ba8d-420d-9725-7c8abd06e082,1.0,7850.0,7849.0,784900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
85de02e5-2782-4050-9c01-c5de3849fbce,"Asfalt , bærelag",A1 - A3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=85de02e5-2782-4050-9c01-c5de3849fbce,1.0,2350.0,2349.0,234900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
85de02e5-2782-4050-9c01-c5de3849fbce,"Asfalt , bærelag",C3,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=85de02e5-2782-4050-9c01-c5de3849fbce,1.0,2350.0,2349.0,234900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
85de02e5-2782-4050-9c01-c5de3849fbce,"Asfalt , bærelag",D,https://oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=85de02e5-2782-4050-9c01-c5de3849fbce,1.0,2350.0,2349.0,234900.0%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
